	AgI	Transcript.Cluster.ID
13334158	At1g01010	13334158
13334167	At1g01040	13334167
13334190	ath-MIR838	13334190
13334192	At1g01073	13334192
13334194	At1g01110	13334194
13334202	At1g01115	13334202
13334204	At1g01160	13334204
13334213	At1g01180	13334213
13334217	At1g01210	13334217
13334223	At1g01220	13334223
13334233	At1g01225	13334233
13334238	At1g01230	13334238
13334244	At1g01240	13334244
13334251	At1g01260	13334251
13334260	At1g01280	13334260
13334264	At1g01290	13334264
13334270	At1g01300	13334270
13334274	At1g01305	13334274
13334277	AMBIgUOUS	13334277
13334281	At1g01350	13334281
13334287	At1g01355	13334287
13334292	At1g01360	13334292
13334298	At1g01370	13334298
13334311	At1g01380	13334311
13334317	At1g01410	13334317
13334319	At1g01450	13334319
13334327	At1g01460	13334327
13334339	At1g01471	13334339
13334341	At1g01480	13334341
13334349	At1g01500	13334349
13334354	At1g01510	13334354
13334363	At1g01520	13334363
13334371	At1g01540	13334371
13334383	At1g01550	13334383
13334389	At1g01560	13334389
13334401	At1g01570	13334401
13334405	At1g01580	13334405
13334415	At1g01590	13334415
13334424	At1g01600	13334424
13334429	At1g01630	13334429
13334437	At1g01690	13334437
13334454	At1g01695	13334454
13334459	At1g01710	13334459
13334478	At1g01720	13334478
13334484	At1g01730	13334484
13334490	At1g01750	13334490
13334495	At1g01770	13334495
13334511	At1g01780	13334511
13334518	At1g01790	13334518
13334537	At1g01800	13334537
13334545	At1g01810	13334545
13334548	At1g01840	13334548
13334552	At3g50840	13334552
13334554	At1g01900	13334554
13334558	At1g01920	13334558
13334578	At1g01940	13334578
13334585	At1g01950	13334585
13334609	At1g01970	13334609
13334614	At1g02000	13334614
13334618	At1g02010	13334618
13334642	At1g02065	13334642
13334650	At1g02074	13334650
13334652	At1g02080	13334652
13334703	At1g02100	13334703
13334720	At1g02110	13334720
13334726	At1g02120	13334726
13334745	At1g02145	13334745
13334767	At1g02150	13334767
13334772	At1g02160	13334772
13334779	At1g02170	13334779
13334787	At1g02190	13334787
13334797	At1g02205	13334797
13334812	At1g02300	13334812
13334821	At1g02305	13334821
13334831	At1g02320	13334831
13334833	At1g02350	13334833
13334838	At1g02370	13334838
13334842	At1g02380	13334842
13334849	At1g02390	13334849
13334854	At1g02400	13334854
13334860	At1g02410	13334860
13334871	At1g02420	13334871
13334873	At1g21529	13334873
13334875	At1g02490	13334875
13334877	At1g02500	13334877
13334881	At1g02520	13334881
13334891	At1g02530	13334891
13334902	At1g02550	13334902
13334904	At1g02560	13334904
13334916	At1g02570	13334916
13334919	At1g02575	13334919
13334922	At1g02580	13334922
13334940	AMBIgUOUS	13334940
13334942	At1g02620	13334942
13334945	At1g02640	13334945
13334953	At1g02650	13334953
13334957	At1g02670	13334957
13334973	At1g02680	13334973
13334981	At1g02690	13334981
13334994	At1g02700	13334994
13334999	At1g02720	13334999
13335005	At1g02750	13335005
13335014	At1g02810	13335014
13335018	At1g02813	13335018
13335022	At1g02816	13335022
13335026	At1g02840	13335026
13335042	At1g02850	13335042
13335058	At1g02860	13335058
13335067	AMBIgUOUS	13335067
13335071	At1g02970	13335071
13335084	At1g02980	13335084
13335100	At1g03010	13335100
13335107	At1g03022	13335107
13335109	At1g03030	13335109
13335122	At1g03050	13335122
13335128	At1g03070	13335128
13335137	AMBIgUOUS	13335137
13335155	At1g03103	13335155
13335160	At1g03110	13335160
13335173	At1g03120	13335173
13335176	At1g03150	13335176
13335185	At1g03160	13335185
13335201	At1g03170	13335201
13335205	At1g03180	13335205
13335217	At1g03190	13335217
13335232	At1g03200	13335232
13335237	At1g03210	13335237
13335243	At1g03220	13335243
13335246	At1g03230	13335246
13335249	At1g03270	13335249
13335262	At1g03280	13335262
13335273	At1g03290	13335273
13335286	At1g03310	13335286
13335291	At1g03320	13335291
13335294	At1g03340	13335294
13335301	At1g03360	13335301
13335311	At1g03365	13335311
13335316	At1g03370	13335316
13335327	At1g03380	13335327
13335339	At1g03430	13335339
13335347	At1g03440	13335347
13335351	At1g03490	13335351
13335356	At1g03495	13335356
13335360	AMBIgUOUS	13335360
13335362	At1g03540	13335362
13335364	At1g03550	13335364
13335368	At4g03410	13335368
13335370	At1g03600	13335370
13335374	At1g03610	13335374
13335382	At1g03630	13335382
13335390	At1g03687	13335390
13335401	At1g03700	13335401
13335407	At1g03710	13335407
13335414	At1g03740	13335414
13335425	At1g03750	13335425
13335434	At1g03770	13335434
13335446	At1g03790	13335446
13335449	At1g03810	13335449
13335452	At1g03880	13335452
13335458	At1g03890	13335458
13335465	At1g03900	13335465
13335471	At1g03905	13335471
13335480	At1g03910	13335480
13335496	At1g03920	13335496
13335511	At1g03930	13335511
13335524	UNIDENtIFIED	13335524
13335526	At1g03960	13335526
13335542	At1g03970	13335542
13335546	At1g03990	13335546
13335550	At1g04020	13335550
13335566	At1g04030	13335566
13335573	At1g04080	13335573
13335592	At1g04090	13335592
13335597	At1g04100	13335597
13335604	At1g04130	13335604
13335615	At1g04160	13335615
13335639	At1g04170	13335639
13335650	At1g04180	13335650
13335653	At1g04200	13335653
13335674	At1g04210	13335674
13335688	At1g04230	13335688
13335698	At1g04250	13335698
13335706	At1g04295	13335706
13335709	At1g04320	13335709
13335711	At1g04350	13335711
13335717	At1g04370	13335717
13335719	At1g04420	13335719
13335729	At1g04425	13335729
13335733	At1g04430	13335733
13335746	At1g04440	13335746
13335761	At1g04445	13335761
13335763	At1g04450	13335763
13335769	AMBIgUOUS	13335769
13335773	At1g04501	13335773
13335775	At1g04510	13335775
13335789	At1g04520	13335789
13335795	At1g04540	13335795
13335797	At1g04550	13335797
13335808	At1g04555	13335808
13335815	At1g04560	13335815
13335821	At1g04600	13335821
13335846	At1g04610	13335846
13335852	At1g04635	13335852
13335856	At1g04640	13335856
13335862	At1g04670	13335862
13335868	At1g04690	13335868
13335876	At1g04700	13335876
13335887	At1g04710	13335887
13335903	AMBIgUOUS	13335903
13335905	At1g04760	13335905
13335910	At1g04778	13335910
13335914	At1g04790	13335914
13335925	At1g04810	13335925
13335940	At1g04900	13335940
13335956	AMBIgUOUS	13335956
13335972	At1g04970	13335972
13335980	At1g05000	13335980
13335989	At1g05080	13335989
13335993	At1g05085	13335993
13335997	At1g05090	13335997
13336002	At1g05100	13336002
13336006	At1g05136	13336006
13336008	At1g05140	13336008
13336011	At1g05200	13336011
13336021	At1g05210	13336021
13336026	At1g05220	13336026
13336032	AMBIgUOUS	13336032
13336039	At1g05260	13336039
13336046	At1g05320	13336046
13336057	At1g05330	13336057
13336059	At1g05360	13336059
13336070	At1g05380	13336070
13336080	At1g05400	13336080
13336087	At1g05420	13336087
13336089	At1g05450	13336089
13336097	At1g05500	13336097
13336113	At1g05510	13336113
13336119	At1g05540	13336119
13336125	At1g05560	13336125
13336127	At1g05590	13336127
13336132	At1g05600	13336132
13336138	At1g05620	13336138
13336150	At1g05630	13336150
13336165	At1g05690	13336165
13336173	At1g05700	13336173
13336185	At1g05710	13336185
13336198	At1g05730	13336198
13336204	At1g05740	13336204
13336208	At1g05750	13336208
13336211	At1g05780	13336211
13336216	At1g05785	13336216
13336226	At1g05790	13336226
13336244	At1g05800	13336244
13336246	At1g05805	13336246
13336254	At1g05810	13336254
13336258	At1g05820	13336258
13336275	At1g05830	13336275
13336299	At1g05835	13336299
13336303	At1g05860	13336303
13336309	At1g05880	13336309
13336325	At1g05890	13336325
13336342	At1g05894	13336342
13336346	At1g05900	13336346
13336361	At1g05910	13336361
